system_id,image_id,file,first_author,year,source_journal,publisher,open_access,arxiv,bibcode,license_class,restrictive_venue,permission_status
14-her,14-her_jwst2025,images/14-her/14-her_jwst2025.png,Bardalez Gagliuffi,2025,ApJL (2025),AAS/IOP,green-oa,2506.09201,2025ApJ...988L..18B,arxiv-preprint-figure,,not-needed
1rxs-j1609,1rxs-j1609_gemini2010,images/1rxs-j1609/1rxs-j1609_gemini2010.png,Lafreniere,2010,"ApJ 719, 497",AAS/IOP,green-oa,1006.3070,2010ApJ...719..497L,arxiv-preprint-figure,,not-needed
1rxs-j1609,1rxs-j1609_magao2015,images/1rxs-j1609/1rxs-j1609_magao2015.png,Wu,2015,"ApJL 807, L13",AAS/IOP,green-oa,1506.05816,2015ApJ...807L..13W,arxiv-preprint-figure,,not-needed
2m1207,2m1207_naco2004,images/2m1207/2m1207_naco2004.png,Chauvin,2004,"A&A 425, L29",EDP Sciences,hybrid,astro-ph/0409323,2004A&A...425L..29C,arxiv-preprint-figure,,not-needed
2m1207,2m1207_nicmos2006,images/2m1207/2m1207_nicmos2006.png,Song,2006,ApJ,AAS/IOP,green-oa,astro-ph/0607490,2006ApJ...652..724S,arxiv-preprint-figure,,not-needed
2m1207,2m1207_miri2025,images/2m1207/2m1207_miri2025.png,Patapis,2025,"A&A 704, A5",EDP Sciences,hybrid,2507.08961,2025A&A...704A...5P,arxiv-preprint-figure,,not-needed
2mass-j0219-3925,2mass-j0219-3925_simon2015,images/2mass-j0219-3925/2mass-j0219-3925_simon2015.png,Artigau,2015,"ApJ 806, 254",AAS/IOP,green-oa,1505.01747,2015ApJ...806..254A,arxiv-preprint-figure,,not-needed
2mass-j04414489,2mass-j04414489_wfpc2-2010,images/2mass-j04414489/2mass-j04414489_wfpc2-2010.png,Todorov,2010,"ApJL 714, L84",AAS/IOP,green-oa,1004.0539,2010ApJ...714L..84T,arxiv-preprint-figure,,not-needed
2mass-j04414489,2mass-j04414489_niri2010,images/2mass-j04414489/2mass-j04414489_niri2010.png,Todorov,2010,"ApJL 714, L84",AAS/IOP,green-oa,1004.0539,2010ApJ...714L..84T,arxiv-preprint-figure,,not-needed
2mass-j13342461-6517473,2mass-j13342461-6517473_destinys,images/2mass-j13342461-6517473/2mass-j13342461-6517473_destinys.png,Garufi,2026,"A&A, in press",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
2mass-j15575444-2450424,2mass-j15575444-2450424_destinys,images/2mass-j15575444-2450424/2mass-j15575444-2450424_destinys.png,Garufi,2026,"A&A, in press",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
2mass-j16020757-2257467,2mass-j16020757-2257467_agepro,images/2mass-j16020757-2257467/2mass-j16020757-2257467_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16064794-1841437,2mass-j16064794-1841437_nircensus,images/2mass-j16064794-1841437/2mass-j16064794-1841437_nircensus.png,Garufi,2026,"A&A, in press",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
2mass-j16082324-1930009,2mass-j16082324-1930009_agepro,images/2mass-j16082324-1930009/2mass-j16082324-1930009_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16082324-1930009,2mass-j16082324-1930009_nircensus,images/2mass-j16082324-1930009/2mass-j16082324-1930009_nircensus.png,Garufi,2026,"A&A 709, A269",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
2mass-j16083070-3828268,2mass-j16083070-3828268_sphere2019,images/2mass-j16083070-3828268/2mass-j16083070-3828268_sphere2019.png,Villenave,2019,A&A,EDP Sciences,hybrid,1902.04612,2019A&A...624A...7V,arxiv-preprint-figure,,not-needed
2mass-j16085324-3914401,2mass-j16085324-3914401_alma-agepro,images/2mass-j16085324-3914401/2mass-j16085324-3914401_alma-agepro.png,Deng,2025,"ApJ 989, 3",AAS/IOP,green-oa,2506.10734,2025ApJ...989....3D,arxiv-preprint-figure,,not-needed
2mass-j16090075-1908526,2mass-j16090075-1908526_agepro,images/2mass-j16090075-1908526/2mass-j16090075-1908526_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16120668-3010270,2mass-j16120668-3010270_agepro,images/2mass-j16120668-3010270/2mass-j16120668-3010270_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16120668-3010270,2mass-j16120668-3010270_destinys,images/2mass-j16120668-3010270/2mass-j16120668-3010270_destinys.png,Ginski,2025,A&A (2025),EDP Sciences,hybrid,2506.05892,2025A&A...699A.237G,arxiv-preprint-figure,,not-needed
2mass-j16120668-3010270,2mass-j16120668-3010270_magaox2025,images/2mass-j16120668-3010270/2mass-j16120668-3010270_magaox2025.png,Li,2025,AJ (submitted),AAS/IOP,green-oa,2508.11155,2025ApJ...990L..70L,arxiv-preprint-figure,,not-needed
2mass-j16124373-3815031,2mass-j16124373-3815031_agepro,images/2mass-j16124373-3815031/2mass-j16124373-3815031_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16163345-2521505,2mass-j16163345-2521505_agepro,images/2mass-j16163345-2521505/2mass-j16163345-2521505_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16202863-2442087,2mass-j16202863-2442087_agepro,images/2mass-j16202863-2442087/2mass-j16202863-2442087_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16221532-2511349,2mass-j16221532-2511349_agepro,images/2mass-j16221532-2511349/2mass-j16221532-2511349_agepro.png,Zhang,2025,ApJ (2025),AAS/IOP,green-oa,2506.10719,2025ApJ...989....1Z,arxiv-preprint-figure,,not-needed
2mass-j16262785-2625152,2mass-j16262785-2625152_nirc2-kointreau,images/2mass-j16262785-2625152/2mass-j16262785-2625152_nirc2-kointreau.png,Walker,2026,AJ (2026),AAS/IOP,green-oa,2602.10198,2026AJ....171..142W,arxiv-preprint-figure,,not-needed
2mass-j19005804-3645048,2mass-j19005804-3645048_nircensus,images/2mass-j19005804-3645048/2mass-j19005804-3645048_nircensus.png,Garufi,2026,"A&A, in press",EDP Sciences,hybrid,2603.01703,2026A&A...709A.269G,arxiv-preprint-figure,,not-needed
3c-273,3c-273_stis2024,images/3c-273/3c-273_stis2024.png,Ren,2024,"A&A 683, L5",EDP Sciences,hybrid,2402.09505,2024A&A...683L...5R,arxiv-preprint-figure,,not-needed
3c-273,3c-273_acs2003,images/3c-273/3c-273_acs2003.png,Martel,2003,"AJ 125, 2964",AAS/IOP,green-oa,,2003AJ....125.2964M,publisher-pdf,,not-needed
3c-273,3c-273_bahcall1995,images/3c-273/3c-273_bahcall1995.png,Bahcall,1995,"ApJ 450, 486",AAS/IOP,green-oa,astro-ph/9501018,1995ApJ...450..486B,arxiv-preprint-figure,,not-needed
3c-273,3c-273_alma-band3,images/3c-273/3c-273_alma-band3.png,Komugi,2022,"ApJ 930, 3",AAS/IOP,green-oa,2203.15218,2022ApJ...930....3K,arxiv-preprint-figure,,not-needed
3c-273,3c-273_alma-band6,images/3c-273/3c-273_alma-band6.png,Komugi,2022,"ApJ 930, 3",AAS/IOP,green-oa,2203.15218,2022ApJ...930....3K,arxiv-preprint-figure,,not-needed
3c-273,3c-273_alma-band7,images/3c-273/3c-273_alma-band7.png,Komugi,2022,"ApJ 930, 3",AAS/IOP,green-oa,2203.15218,2022ApJ...930....3K,arxiv-preprint-figure,,not-needed
3c-323-1,3c-323-1_bahcall1995,images/3c-323-1/3c-323-1_bahcall1995.png,Bahcall,1995,"ApJ 450, 486",AAS/IOP,green-oa,astro-ph/9501018,1995ApJ...450..486B,arxiv-preprint-figure,,not-needed
49-cet,49-cet_reasons,images/49-cet/49-cet_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
49-cet,49-cet_arks,images/49-cet/49-cet_arks.png,Marino,2026,A&A,EDP Sciences,hybrid,2601.11708,2026A&A...705A.195M,arxiv-preprint-figure,,not-needed
49-cet,49-cet_nicmos-ren2023,images/49-cet/49-cet_nicmos-ren2023.png,Ren,2023,"A&A 672, A114",EDP Sciences,hybrid,2302.04273,2023A&A...672A.114R,arxiv-preprint-figure,,not-needed
49-cet,49-cet_sphere-debris-2025,images/49-cet/49-cet_sphere-debris-2025.png,Engler,2025,"A&A 704, A21",EDP Sciences,hybrid,2512.03128,2025A&A...704A..21E,arxiv-preprint-figure,,not-needed
