system,system_id,image_id,band,route,thumbnail,claimed_instrument,claimed_wavelength,claimed_source_figure,bibcode,arxiv,target_ok,instrument_ok,wavelength_ok,reference_ok,crop_clean,notes
HR 4796A,hr-4796a,hr-4796a_keck1998,mir,targeted,images/hr-4796a/hr-4796a_keck1998.png,Keck / MIRLIN,20.8 um thermal imaging; disk resolved (companion paper: Jayawardhana+1998),"Koerner et al. 1998, Fig. 1 (crop: 20.8 um image)",1998ApJ...503L..83K,astro-ph/9806268,,,,,,
HIP 21152,hip-21152,hip-21152_scexao2022,nir,targeted,images/hip-21152/hip-21152_scexao2022.png,Subaru-SCExAO / CHARIS,JHK broadband; accelerating-star discovery,"Kuzuhara et al. 2022, Fig. 1 (crop)",2022ApJ...934L..18K,2205.02729,,,,,,
HD 142666,hd-142666,hd-142666_gemini-lights,nir,survey,images/hd-142666/hd-142666_gemini-lights.png,Gemini-GPI / IFS pol,J band 1.24 um (pol. intensity),"Rich et al. 2022, continuous gallery (crop)",2022AJ....164..109R,2206.05815,,,,,,
DS Tau,ds-tau,ds-tau_taurus-long2018,mm,survey,images/ds-tau/ds-tau_taurus-long2018.png,ALMA / Band 6,1.33 mm continuum,"Long et al. 2018, Fig. 1 (crop)",2018ApJ...869...17L,1810.06044,,,,,,
HD 95086,hd-95086,hd-95086_herschel-pacs2015,mir,targeted,images/hd-95086/hd-95086_herschel-pacs2015.png,Herschel / PACS,70 um far-IR (PACS); HD 95086 belt,Su et al. 2015 (crop),2015ApJ...799..146S,1412.0167,,,,,,
HD 141569,hd-141569,hd-141569_sphere-rdi-xie22,nir,targeted,images/hd-141569/hd-141569_sphere-rdi-xie22.png,VLT-SPHERE / IRDIS,"total intensity (H23, RDI)","Xie et al. 2022, Fig. 9 (crop)",2022A&A...666A..32X,2208.07915,,,,,,
BN CrA,bn-cra,bn-cra_destinys-cra,nir,survey,images/bn-cra/bn-cra_destinys-cra.png,VLT-SPHERE / IRDIS,H band polarimetric (Qphi) scattered light,"Columba et al. 2026, Fig. 2 (crop)",2026A&A...706A..16C,2511.01717,,,,,,
HD 141943,hd-141943,nz-lup_gpies-debris,nir,survey,images/nz-lup/nz-lup_gpies-debris.png,Gemini-GPI / IFS,H band 1.6 um (total intensity),"Esposito et al. 2020, Fig. 6 (crop)",2020AJ....160...24E,2004.13722,,,,,,
DN Tau,dn-tau,dn-tau_sphere-taurus,nir,survey,images/dn-tau/dn-tau_sphere-taurus.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (pol. intensity),"Garufi et al. 2024, Fig. 2 (crop)",2024A&A...685A..53G,2403.02158,,,,,,
HD 131835,hd-131835,hd-131835_reasons,mm,survey,images/hd-131835/hd-131835_reasons.png,ALMA/SMA / Band 6/7,~0.9-1.3 mm continuum,"Matrà et al. 2025, Fig. 1 (crop)",2025A&A...693A.151M,2501.09058,,,,,,
Z CMa,z-cma,z-cma_zurlo2024,nir,targeted,images/z-cma/z-cma_zurlo2024.png,VLT-SPHERE / IRDIS,"H band 1.65 um (polarized intensity, PI)","Zurlo et al. 2024, Fig. 1 (crop)",2024A&A...686A.309Z,2403.12124,,,,,,
SU Aur,su-aur,su-aur_sphere2021,nir,targeted,images/su-aur/su-aur_sphere2021.png,VLT-SPHERE / IRDIS,H band 1.6 um (pol. intensity),"Ginski et al. 2021, Fig. 1 (crop, SPHERE Qphi)",2021ApJ...908L..25G,2102.08781,,,,,,
HD 95086,hd-95086,hd-95086_naco2013,nir,targeted,images/hd-95086/hd-95086_naco2013.png,VLT-NACO / NACO,L' band; planet discovery,"Rameau et al. 2013, Fig. 1 (crop)",2013ApJ...772L..15R,1305.7428,,,,,,
COCONUTS-2,coconuts-2,coconuts-2_discovery2021,nir,targeted,images/coconuts-2/coconuts-2_discovery2021.png,WISE / AllWISE W1+W2,"AllWISE bi-color image: COCONUTS-2 b 594"" (6471 au) from the M dwarf","Zhang et al. 2021, Fig. 1 (crop)",2021ApJ...916L..11Z,2107.02805,,,,,,
ROXs 42B,roxs-42b,roxs-42b_keck2014,nir,targeted,images/roxs-42b/roxs-42b_keck2014.png,Keck / NIRC2,H band; companion confirmation image,"Currie et al. 2014, Fig. 1 (crop)",2014ApJ...780L..30C,1310.4825,,,,,,
V4046 Sgr,v4046-sgr,v4046-sgr_sma2010,mm,targeted,images/v4046-sgr/v4046-sgr_sma2010.png,SMA / Submillimeter Array,1.3 mm continuum,"Rodriguez et al. 2010, Fig. 4 (crop)",2010ApJ...720.1684R,1007.3993,,,,,,
HD 141943,hd-141943,nz-lup_nicmos2014,nir,targeted,images/nz-lup/nz-lup_nicmos2014.png,HST / NICMOS,F110W (1.1 um) coronagraphic scattered light,"Soummer et al. 2014, Fig. 2 (crop)",2014ApJ...786L..23S,1404.5614,,,,,,
HD 145560,hd-145560,hd-145560_sphere-debris-2025,vis,survey,images/hd-145560/hd-145560_sphere-debris-2025.png,VLT-SPHERE / ZIMPOL,ZIMPOL VBB 0.74 um (pol. intensity),"Engler et al. 2025, Fig. 5b (crop)",2025A&A...704A..21E,2512.03128,,,,,,
DS Tau,ds-tau,ds-tau_sphere-taurus,nir,survey,images/ds-tau/ds-tau_sphere-taurus.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (pol. intensity),"Garufi et al. 2024, Fig. 2 (crop)",2024A&A...685A..53G,2403.02158,,,,,,
HT Lup,ht-lup,ht-lup_dsharp,mm,survey,images/ht-lup/ht-lup_dsharp.png,ALMA / Band 6,1.25 mm continuum,"Andrews et al. 2018, Fig. 3 (crop)",2018ApJ...869L..41A,1812.04040,,,,,,
HD 71722,hd-71722,hd-71722_herschel-pacs,mir,targeted,images/hd-71722/hd-71722_herschel-pacs.png,Herschel / PACS,100 um (original data),"Morales et al. 2013, Fig. 1 (crop: HD 71722)",2013ApJ...776..111M,,,,,,,
HD 129590,hd-129590,hd-129590_gpi-crotts24,nir,survey,images/hd-129590/hd-129590_gpi-crotts24.png,Gemini-GPI / IFS pol,"H band 1.6 um (pol. intensity, Qphi)","Crotts et al. 2024, Fig. 2 (crop)",2024ApJ...961..245C,2311.14599,,,,,,
HR 4796A,hr-4796a,hr-4796a_stis2018,vis,targeted,images/hr-4796a/hr-4796a_stis2018.png,HST / STIS,0.2-1.0 um broadband (optical),"Schneider et al. 2018, Fig. 8 (crop)",2018AJ....155...77S,1712.08599,,,,,,
RX J1852.3-3700,rx-j1852-3-3700,rx-j1852-3-3700_alice-f110w,nir,survey,images/rx-j1852-3-3700/rx-j1852-3-3700_alice-f110w.png,HST / NICMOS,"F110W 1.1 um (ALICE archival reprocessing, combined coadd)","ALICE HLSP v1 combined coadd (HST program 10849, STScI) — hi-res: ALICE archive (STScI)",2018AJ....155..179H,1802.07754,,,,,,
DoAr 44,doar-44,doar-44_dartts-s,nir,survey,images/doar-44/doar-44_dartts-s.png,VLT-SPHERE / IRDIS DPI,H band 1.6 um (pol. intensity),"Avenhaus et al. 2018, Fig. 1 (crop)",2018ApJ...863...44A,1803.10882,,,,,,
IRAS 15469-5311,iras-15469-5311,iras-15469-5311_vlti_pionier,nir,survey,images/iras-15469-5311/iras-15469-5311_vlti_pionier.png,VLTI / PIONIER,H band (SPARCO/ORGANIC image reconstruction),"De Prins et al. 2026, Fig. 4 (crop: IRAS 15469-5311 panel)",2026arXiv260513445D,2605.13445,,,,,,
TW Hya,tw-hya,tw-hya_naco-pippin,nir,survey,images/tw-hya/tw-hya_naco-pippin.png,VLT-NACO / NACO pol,Ks band (PIPPIN PDI reprocessing),"de Regt et al. 2024, Fig. 6 (crop)",2024A&A...684A..73D,2404.02222,,,,,,
